from,to,flow,cost
305,302,1.0,22.0
305,533,1.0,19.0
307,534,1.0,31.0
307,1544,1.0,47.0
307,1545,1.0,27.0
307,1546,1.0,27.0
307,3041,1.0,26.0
307,3602,1.0,38.0
308,307,3.0,7.0
308,2787,1.0,73.0
309,308,3.0,7.0
310,309,2.0,7.0
310,2953,1.0,32.0
312,1683,1.0,51.0
312,2312,1.0,14.0
314,419,1.0,7.0
314,3803,1.0,31.0
319,499,1.0,25.0
319,1090,2.0,8.0
321,499,1.0,8.0
325,499,1.0,35.0
329,1881,14.0,16.0
329,1946,1.0,75.0
329,2538,1.0,155.0
330,538,1.0,52.0
331,329,1.0,13.0
331,538,1.0,55.0
333,329,1.0,27.0
333,2774,1.0,113.0
334,333,1.0,7.0
335,225,1.0,77.0
335,251,1.0,98.0
335,329,1.0,43.0
335,331,1.0,29.0
335,334,1.0,8.0
335,545,1.0,189.0
335,577,1.0,79.0
335,690,2.0,53.0
335,694,1.0,60.0
335,869,2.0,59.0
335,1226,1.0,11.0
335,1229,1.0,113.0
335,1371,1.0,95.0
335,1552,1.0,59.0
335,1734,2.0,3.0
335,2774,1.0,91.0
335,3131,1.0,129.0
335,4282,1.0,70.0
335,4287,1.0,23.0
336,1734,1.0,7.0
336,2236,1.0,82.0
338,329,1.0,73.0
338,692,1.0,30.0
338,4506,1.0,0.0
339,4505,2.0,4.0
340,1266,1.0,19.0
341,248,1.0,25.0
341,249,4.0,7.0
342,4503,3.0,4.0
343,700,1.0,52.0
343,715,1.0,161.0
343,1973,7.0,20.0
344,1286,2.0,43.0
345,344,1.0,7.0
346,1286,1.0,57.0
347,710,1.0,63.0
347,1976,5.0,10.0
348,1382,1.0,64.0
348,1976,1.0,17.0
349,348,1.0,7.0
350,716,1.0,78.0
350,1679,2.0,4.0
351,1979,8.0,14.0
352,756,1.0,115.0
353,1015,1.0,80.0
353,1382,1.0,73.0
354,715,1.0,45.0
354,1388,1.0,32.0
355,1984,3.0,7.0
355,2012,1.0,71.0
356,355,1.0,7.0
357,1394,1.0,75.0
358,883,3.0,37.0
359,722,1.0,49.0
359,1988,5.0,9.0
360,362,1.0,37.0
361,362,1.0,44.0
361,1032,1.0,73.0
361,1991,1.0,68.0
362,355,1.0,51.0
362,356,1.0,44.0
362,360,1.0,15.0
362,361,1.0,8.0
362,363,1.0,21.0
362,719,1.0,77.0
362,1388,2.0,61.0
362,1392,1.0,29.0
362,1394,1.0,16.0
362,1982,1.0,79.0
362,1987,1.0,40.0
362,1990,1.0,16.0
362,1991,1.0,41.0
362,2090,1.0,72.0
362,2343,1.0,114.0
362,2444,1.0,33.0
362,3003,1.0,165.0
362,4246,1.0,27.0
363,362,2.0,8.0
363,2444,1.0,41.0
368,2368,1.0,133.0
375,1591,1.0,127.0
375,2651,1.0,80.0
376,375,2.0,6.0
376,2955,1.0,40.0
378,376,2.0,12.0
378,3133,1.0,139.0
379,378,2.0,13.0
381,379,1.0,14.0
384,208,1.0,164.0
384,1926,1.0,7.0
387,3949,1.0,82.0
390,1888,1.0,101.0
390,3862,2.0,8.0
392,390,3.0,14.0
392,3919,1.0,98.0
393,392,1.0,7.0
394,392,3.0,13.0
395,394,2.0,5.0
395,1705,1.0,92.0
396,395,3.0,6.0
397,2653,2.0,92.0
397,3925,1.0,55.0
399,397,1.0,13.0
399,538,1.0,48.0
399,2065,1.0,97.0
400,399,1.0,7.0
403,2368,1.0,119.0
404,362,1.0,29.0
404,3941,2.0,6.0
405,3795,1.0,10.0
406,3812,1.0,27.0
408,409,1.0,12.0
408,4423,7.0,2.0
409,34,1.0,41.0
409,408,6.0,8.0
409,802,1.0,43.0
410,408,2.0,16.0
411,410,1.0,8.0
411,3777,1.0,10.0
411,3787,1.0,32.0
411,4569,1.0,53.0
411,4571,1.0,46.0
412,411,2.0,8.0
413,412,1.0,7.0
413,2156,1.0,22.0
413,2157,1.0,18.0
414,37,1.0,102.0
414,805,5.0,21.0
414,3625,1.0,44.0
416,2310,1.0,32.0
416,3765,2.0,1.0
418,2160,1.0,12.0
419,1837,1.0,27.0
420,21,1.0,59.0
420,314,2.0,7.0
420,811,1.0,9.0
420,3762,3.0,1.0
422,812,1.0,16.0
422,2162,4.0,36.0
422,3781,1.0,23.0
423,422,2.0,7.0
425,3780,1.0,9.0
426,817,1.0,11.0
428,42,1.0,18.0
428,3783,1.0,1.0
428,3791,1.0,8.0
430,820,1.0,18.0
430,1633,1.0,39.0
430,2168,1.0,34.0
430,3640,1.0,33.0
430,3797,2.0,8.0
431,430,1.0,7.0
434,135,1.0,50.0
434,2171,1.0,35.0
434,2320,1.0,89.0
434,3534,1.0,30.0
434,3773,1.0,10.0
434,3774,1.0,30.0
434,3800,1.0,2.0
440,3774,1.0,15.0
440,3802,4.0,9.0
446,431,1.0,125.0
453,3022,1.0,13.0
461,3497,2.0,8.0
473,2118,1.0,21.0
479,3543,1.0,51.0
483,170,1.0,30.0
483,174,1.0,28.0
483,3083,1.0,29.0
486,179,1.0,48.0
499,1086,1.0,54.0
499,3209,1.0,36.0
499,3231,1.0,134.0
499,3970,1.0,74.0
503,499,1.0,27.0
503,505,1.0,15.0
505,231,1.0,254.0
505,4334,1.0,69.0
507,3905,1.0,129.0
511,3906,1.0,8.0
514,511,1.0,30.0
517,1743,2.0,10.0
518,1612,1.0,49.0
519,4340,1.0,2.0
527,4490,1.0,89.0
528,2687,1.0,36.0
528,3713,1.0,82.0
529,2871,1.0,99.0
529,3710,1.0,1.0
530,529,1.0,13.0
532,533,2.0,20.0
532,1542,1.0,55.0
532,1545,1.0,42.0
532,2269,1.0,22.0
532,2535,1.0,34.0
532,2536,1.0,35.0
532,2683,1.0,95.0
532,2865,1.0,71.0
532,3040,1.0,54.0
532,3691,2.0,104.0
532,3701,1.0,78.0
533,532,2.0,20.0
533,1351,1.0,69.0
533,2914,1.0,48.0
533,3041,1.0,7.0
533,3178,1.0,168.0
534,305,1.0,16.0
534,1891,1.0,5.0
537,57,1.0,65.0
538,680,1.0,72.0
538,785,1.0,21.0
538,861,1.0,72.0
538,1862,13.0,7.0
538,2795,1.0,14.0
540,543,1.0,59.0
540,566,1.0,259.0
540,876,1.0,94.0
540,917,1.0,65.0
540,975,1.0,25.0
540,1120,1.0,22.0
540,1122,1.0,68.0
540,1127,1.0,95.0
540,1912,1.0,148.0
540,2086,1.0,94.0
540,2806,1.0,89.0
540,3868,1.0,98.0
540,4240,1.0,45.0
543,975,2.0,10.0
543,4301,1.0,15.0
544,540,1.0,108.0
545,3044,1.0,8.0
545,3284,1.0,23.0
552,2902,1.0,229.0
554,223,2.0,26.0
554,3356,1.0,10.0
555,4043,1.0,37.0
560,124,1.0,122.0
560,2363,1.0,29.0
560,2399,1.0,66.0
564,565,2.0,14.0
565,3291,3.0,2.0
566,4136,1.0,7.0
567,568,1.0,9.0
567,2996,1.0,45.0
568,378,1.0,122.0
568,2996,1.0,54.0
574,4351,1.0,115.0
576,329,1.0,21.0
577,215,1.0,41.0
577,688,11.0,6.0
579,2774,1.0,206.0
579,4450,1.0,34.0
580,1883,1.0,6.0
