passenger,line,mod_cost
0,87,47.0
1,80,94.0
2,94,98.0
3,95,139.0
4,40,152.0
5,17,62.0
6,96,116.0
7,87,41.0
8,no_MT,115.0
9,32,161.0
10,92,187.0
11,28,88.0
12,31,120.0
13,27,55.0
14,87,13.0
15,37,167.0
16,32,105.0
17,32,197.0
18,41,52.0
19,14,72.0
20,9,136.0
21,28,92.0
22,26,96.0
23,46,131.0
24,95,94.0
25,49,82.0
26,58,46.0
27,32,89.0
28,9,180.0
29,86,118.0
30,63,100.0
31,9,50.0
32,33,117.0
33,57,188.0
34,26,126.0
35,82,61.0
36,53,67.0
37,51,211.0
38,42,43.0
39,64,155.0
40,50,38.0
41,9,101.0
42,21,50.0
43,5,49.0
44,9,153.0
45,no_MT,21.0
46,82,110.0
47,no_MT,89.0
48,29,63.0
49,29,35.0
50,94,207.0
51,13,41.0
52,6,205.0
53,86,97.0
54,18,84.0
55,72,57.0
56,90,64.0
57,9,340.0
58,44,115.0
59,67,140.0
60,28,267.0
61,94,154.0
62,89,52.0
63,32,195.0
64,58,46.0
65,77,93.0
66,27,166.0
67,18,105.0
68,40,85.0
69,32,32.0
70,92,121.0
71,no_MT,136.0
72,99,75.0
73,28,139.0
74,94,125.0
75,33,126.0
76,79,48.0
77,no_MT,30.0
78,48,126.0
79,97,69.0
80,89,57.0
81,82,28.0
82,82,64.0
83,36,81.0
84,77,91.0
85,35,155.0
86,85,69.0
87,52,83.0
88,92,189.0
89,52,21.0
90,56,38.0
91,82,71.0
92,50,50.0
93,42,191.0
94,40,80.0
95,92,99.0
96,10,355.0
97,no_MT,60.0
98,45,59.0
99,95,165.0
100,53,84.0
101,69,59.0
102,75,198.0
103,70,169.0
104,29,61.0
105,88,104.0
106,79,101.0
107,81,128.0
108,25,29.0
109,53,105.0
110,94,61.0
111,81,78.0
112,93,113.0
113,36,66.0
114,5,66.0
115,41,70.0
116,73,67.0
117,82,62.0
118,77,56.0
119,32,95.0
120,28,117.0
121,no_MT,51.0
122,68,117.0
123,17,67.0
124,18,82.0
125,6,163.0
126,57,199.0
127,94,94.0
128,56,55.0
129,no_MT,43.0
130,30,187.0
131,10,122.0
132,84,7.0
133,5,103.0
134,97,98.0
135,18,115.0
136,17,63.0
137,95,164.0
138,19,157.0
139,29,48.0
140,21,122.0
141,62,121.0
142,0,66.0
143,62,113.0
144,64,14.0
145,18,106.0
146,33,40.0
147,36,111.0
148,94,99.0
149,36,83.0
150,no_MT,148.0
151,17,59.0
152,64,190.0
153,40,135.0
154,97,128.0
155,33,183.0
156,90,286.0
157,88,67.0
158,45,88.0
159,5,64.0
160,77,80.0
161,95,151.0
162,10,145.0
163,29,72.0
164,32,66.0
165,4,119.0
166,83,54.0
167,36,78.0
168,9,168.0
169,98,145.0
170,no_MT,103.0
171,57,182.0
172,32,77.0
173,75,187.0
174,88,84.0
175,5,140.0
176,13,130.0
177,89,64.0
178,53,67.0
179,24,84.0
180,79,73.0
181,6,155.0
182,92,124.0
183,79,77.0
184,83,182.0
185,82,92.0
186,54,35.0
187,13,39.0
188,83,40.0
189,64,227.0
190,19,221.0
191,28,85.0
192,94,159.0
193,70,76.0
194,24,126.0
195,15,141.0
196,91,76.0
197,41,95.0
198,17,47.0
199,89,166.0
200,26,120.0
201,75,121.0
202,28,93.0
203,52,105.0
204,40,81.0
205,8,135.0
206,51,73.0
207,17,108.0
208,51,192.0
209,no_MT,57.0
210,66,287.0
211,99,94.0
212,28,116.0
213,77,104.0
214,36,111.0
215,6,39.0
216,85,43.0
217,70,70.0
218,18,89.0
219,50,36.0
220,16,55.0
221,8,67.0
222,75,71.0
223,9,125.0
224,95,97.0
225,51,47.0
226,18,111.0
227,52,118.0
228,63,87.0
229,46,110.0
230,13,49.0
231,12,63.0
232,53,39.0
233,95,188.0
234,26,98.0
235,41,33.0
236,70,118.0
237,0,99.0
238,70,77.0
239,82,55.0
240,29,183.0
241,31,58.0
242,44,90.0
243,9,91.0
244,64,186.0
245,98,113.0
246,26,132.0
247,50,197.0
248,26,136.0
249,26,77.0
250,28,36.0
251,77,62.0
252,34,136.0
253,99,100.0
254,88,107.0
255,47,169.0
256,11,137.0
257,28,112.0
258,79,27.0
259,75,87.0
260,87,108.0
261,62,138.0
262,80,98.0
263,29,102.0
264,94,181.0
265,25,78.0
266,99,128.0
267,62,72.0
268,73,56.0
269,20,88.0
270,36,66.0
271,62,207.0
272,13,50.0
273,2,163.0
274,64,8.0
275,72,205.0
276,32,22.0
277,21,73.0
278,75,93.0
279,53,105.0
280,57,217.0
281,19,144.0
282,70,104.0
283,96,85.0
284,94,170.0
285,49,42.0
286,41,230.0
287,49,172.0
288,64,136.0
289,94,125.0
290,86,101.0
291,12,45.0
292,29,97.0
293,79,119.0
294,29,202.0
295,13,234.0
296,53,77.0
297,53,59.0
298,53,51.0
299,no_MT,104.0
300,30,123.0
301,33,200.0
302,3,80.0
303,29,147.0
304,53,95.0
305,69,183.0
306,33,200.0
307,94,104.0
308,88,146.0
309,21,115.0
310,80,46.0
311,35,214.0
312,74,121.0
313,76,69.0
314,93,61.0
315,69,38.0
316,63,107.0
317,27,139.0
318,40,98.0
319,62,198.0
320,76,94.0
321,95,66.0
322,82,129.0
323,79,91.0
324,18,174.0
325,97,123.0
326,92,83.0
327,82,109.0
328,41,160.0
329,64,117.0
330,41,103.0
331,79,43.0
332,88,33.0
333,75,127.0
334,8,16.0
335,63,115.0
336,95,146.0
337,73,49.0
338,40,95.0
339,93,85.0
340,9,144.0
341,75,138.0
342,27,73.0
343,42,40.0
344,88,186.0
345,64,75.0
346,18,63.0
347,9,192.0
348,61,160.0
349,35,37.0
350,9,150.0
351,53,76.0
352,26,40.0
353,51,46.0
354,9,93.0
355,97,44.0
356,33,49.0
357,82,183.0
358,35,139.0
359,90,132.0
360,97,59.0
361,69,81.0
362,14,86.0
363,26,176.0
364,25,101.0
365,76,124.0
366,9,81.0
367,57,21.0
368,98,148.0
369,70,122.0
370,53,65.0
371,33,97.0
372,53,62.0
373,33,180.0
374,72,76.0
375,75,157.0
376,52,138.0
377,89,72.0
378,82,35.0
379,75,169.0
380,52,73.0
381,52,61.0
382,98,128.0
383,74,63.0
384,14,134.0
385,55,172.0
386,no_MT,130.0
387,no_MT,80.0
388,70,100.0
389,2,152.0
390,51,85.0
391,29,73.0
392,no_MT,38.0
393,84,208.0
394,64,198.0
395,69,91.0
396,94,114.0
397,42,64.0
398,41,102.0
399,57,35.0
400,82,78.0
401,62,180.0
402,33,81.0
403,57,134.0
404,30,98.0
405,77,28.0
406,82,31.0
407,75,95.0
408,32,103.0
409,0,96.0
410,28,85.0
411,42,68.0
412,98,93.0
413,94,103.0
414,26,120.0
415,5,70.0
416,97,61.0
417,64,73.0
418,41,72.0
419,22,69.0
420,76,108.0
421,75,62.0
422,82,83.0
423,87,74.0
424,8,79.0
425,5,73.0
426,28,131.0
427,98,105.0
428,67,63.0
429,33,49.0
430,75,143.0
431,98,38.0
432,64,157.0
433,no_MT,49.0
434,62,75.0
435,93,49.0
436,56,76.0
437,52,41.0
438,15,152.0
439,73,111.0
440,6,279.0
441,94,184.0
442,74,107.0
443,95,93.0
444,80,47.0
445,72,69.0
446,82,85.0
447,26,132.0
448,94,139.0
449,39,66.0
450,94,140.0
451,6,65.0
452,11,69.0
453,62,97.0
454,93,122.0
455,75,145.0
456,no_MT,126.0
457,47,109.0
458,9,165.0
459,no_MT,111.0
460,29,159.0
461,6,111.0
462,69,77.0
463,75,49.0
464,32,108.0
465,2,45.0
466,88,80.0
467,18,62.0
468,92,196.0
469,92,148.0
470,44,95.0
471,36,69.0
472,10,99.0
473,98,186.0
474,13,105.0
475,26,83.0
476,27,146.0
477,35,155.0
478,78,63.0
479,14,121.0
480,88,84.0
481,46,176.0
482,69,126.0
483,18,212.0
484,26,102.0
485,6,249.0
486,79,112.0
487,94,234.0
488,50,22.0
489,28,70.0
490,68,74.0
491,89,35.0
492,6,260.0
493,62,85.0
494,35,178.0
495,3,114.0
496,99,81.0
497,70,90.0
498,56,81.0
499,64,77.0
500,32,84.0
501,40,105.0
502,26,30.0
503,33,115.0
504,no_MT,22.0
505,4,20.0
506,73,60.0
507,16,56.0
508,53,102.0
509,28,202.0
510,16,90.0
511,32,160.0
512,69,73.0
513,28,106.0
514,79,115.0
515,9,82.0
516,70,118.0
517,36,90.0
518,79,134.0
519,no_MT,91.0
520,16,135.0
521,97,65.0
522,9,58.0
523,85,90.0
524,26,134.0
525,26,136.0
526,10,62.0
527,75,174.0
528,46,83.0
529,59,164.0
530,19,117.0
531,83,28.0
532,no_MT,31.0
533,62,101.0
534,53,180.0
535,53,82.0
536,66,153.0
537,15,92.0
538,13,42.0
539,82,83.0
540,85,56.0
541,18,134.0
542,87,150.0
543,95,155.0
544,14,44.0
545,36,90.0
546,75,130.0
547,56,40.0
548,84,46.0
549,32,68.0
550,69,111.0
551,9,90.0
552,5,130.0
553,82,102.0
554,76,152.0
555,89,42.0
556,no_MT,60.0
557,35,96.0
558,42,96.0
559,5,81.0
560,64,64.0
561,76,116.0
562,30,72.0
563,28,116.0
564,9,107.0
565,50,37.0
566,94,131.0
567,29,150.0
568,70,117.0
569,no_MT,107.0
570,87,87.0
571,88,71.0
572,6,175.0
573,60,95.0
574,29,148.0
575,75,128.0
576,64,158.0
577,44,108.0
578,52,131.0
579,77,59.0
580,no_MT,35.0
581,no_MT,98.0
582,32,201.0
583,59,133.0
584,89,125.0
585,82,116.0
586,no_MT,71.0
587,22,59.0
588,6,134.0
589,21,139.0
590,17,111.0
591,51,85.0
592,36,49.0
593,94,68.0
594,41,113.0
595,62,83.0
596,no_MT,94.0
597,82,110.0
598,77,90.0
599,no_MT,132.0
600,75,137.0
601,86,163.0
602,75,159.0
603,75,109.0
604,28,56.0
605,64,151.0
606,93,171.0
607,28,35.0
608,53,143.0
609,9,151.0
610,9,75.0
611,0,102.0
612,75,54.0
613,82,63.0
614,64,78.0
615,9,60.0
616,79,85.0
617,80,125.0
618,no_MT,33.0
619,no_MT,84.0
620,no_MT,81.0
621,no_MT,31.0
622,21,55.0
623,95,117.0
624,64,96.0
625,no_MT,82.0
626,2,65.0
627,no_MT,115.0
628,91,86.0
629,17,107.0
630,89,41.0
631,49,68.0
632,53,82.0
633,57,161.0
634,18,90.0
635,33,110.0
636,63,238.0
637,9,29.0
638,64,51.0
639,14,45.0
640,84,106.0
641,9,148.0
642,30,70.0
643,92,136.0
644,18,264.0
645,32,125.0
646,8,63.0
647,75,198.0
648,94,146.0
649,55,34.0
650,70,77.0
651,99,129.0
652,28,147.0
653,no_MT,164.0
654,1,95.0
655,36,194.0
656,46,28.0
657,26,146.0
658,88,88.0
659,99,117.0
660,53,86.0
661,no_MT,204.0
662,no_MT,122.0
663,66,33.0
664,70,197.0
665,90,105.0
666,41,147.0
667,13,66.0
668,14,174.0
669,41,66.0
670,32,119.0
671,82,44.0
672,25,99.0
673,20,154.0
674,36,53.0
675,94,98.0
676,no_MT,120.0
677,35,184.0
678,18,54.0
679,21,110.0
680,41,110.0
681,9,83.0
682,75,214.0
683,51,13.0
684,37,74.0
685,13,73.0
686,64,63.0
687,14,82.0
688,33,179.0
689,29,49.0
690,75,40.0
691,5,36.0
692,17,37.0
693,41,335.0
694,32,46.0
695,62,85.0
696,no_MT,60.0
697,66,88.0
698,13,93.0
699,47,32.0
700,60,51.0
701,no_MT,82.0
702,69,58.0
703,33,77.0
704,9,101.0
705,13,187.0
706,87,50.0
707,21,126.0
708,42,57.0
709,29,57.0
710,30,74.0
711,87,165.0
712,22,41.0
713,83,46.0
714,31,40.0
715,22,123.0
716,33,213.0
717,33,100.0
718,28,112.0
719,82,95.0
720,22,64.0
721,33,168.0
722,75,137.0
723,92,87.0
724,53,79.0
725,26,121.0
726,29,131.0
727,89,51.0
728,53,99.0
729,18,131.0
730,64,56.0
731,49,40.0
732,94,97.0
733,53,53.0
734,75,167.0
735,42,143.0
736,28,107.0
737,35,256.0
738,35,35.0
739,18,155.0
740,2,123.0
741,28,46.0
742,28,77.0
743,6,99.0
744,28,33.0
745,9,116.0
746,21,82.0
747,40,68.0
748,32,86.0
749,28,84.0
750,87,36.0
751,35,90.0
752,9,140.0
753,28,113.0
754,91,87.0
755,97,48.0
756,75,37.0
757,1,112.0
758,8,88.0
759,12,63.0
760,76,140.0
761,no_MT,184.0
762,83,122.0
763,44,94.0
764,62,184.0
765,75,55.0
766,66,438.0
767,9,108.0
768,62,84.0
769,86,114.0
770,9,131.0
771,88,143.0
772,18,91.0
773,94,64.0
774,49,129.0
775,45,200.0
776,53,127.0
777,95,73.0
778,62,106.0
779,84,131.0
780,88,40.0
781,88,81.0
782,14,132.0
783,28,83.0
784,33,106.0
785,40,71.0
786,89,140.0
787,17,84.0
788,15,149.0
789,89,54.0
790,62,75.0
791,27,153.0
792,32,124.0
793,41,156.0
794,33,157.0
795,64,57.0
796,9,195.0
797,41,184.0
798,82,53.0
799,98,158.0
800,94,106.0
801,63,141.0
802,5,89.0
803,52,255.0
804,no_MT,55.0
805,96,128.0
806,14,50.0
807,77,120.0
808,29,216.0
809,62,93.0
810,79,77.0
811,28,97.0
812,1,87.0
813,46,158.0
814,no_MT,117.0
815,68,118.0
816,9,46.0
817,16,121.0
818,95,131.0
819,94,103.0
820,36,75.0
821,79,83.0
822,83,38.0
823,36,71.0
824,6,59.0
825,69,102.0
826,21,80.0
827,30,79.0
828,62,124.0
829,53,58.0
830,82,90.0
831,79,65.0
832,26,90.0
833,57,96.0
834,75,80.0
835,29,226.0
836,68,57.0
837,70,133.0
838,19,155.0
839,33,151.0
840,21,89.0
841,no_MT,137.0
842,26,76.0
843,79,74.0
844,62,164.0
845,33,192.0
846,98,101.0
847,22,70.0
848,23,82.0
849,64,39.0
850,57,75.0
851,41,149.0
852,27,103.0
853,70,188.0
854,53,142.0
855,19,162.0
856,95,83.0
857,21,106.0
858,49,54.0
859,94,58.0
860,40,43.0
861,51,126.0
862,91,56.0
863,33,21.0
864,46,43.0
865,94,206.0
866,57,146.0
867,5,56.0
868,28,124.0
869,93,49.0
870,no_MT,166.0
