from,to,flow,cost
34,405,1.0,12.0
34,2083,1.0,33.0
34,4375,1.0,18.0
41,3804,1.0,45.0
71,273,1.0,162.0
166,3618,1.0,114.0
179,2837,1.0,34.0
179,3209,1.0,42.0
180,179,1.0,7.0
206,2815,1.0,60.0
216,1286,1.0,150.0
225,692,1.0,31.0
229,748,1.0,83.0
248,1517,1.0,236.0
250,699,1.0,28.0
250,700,1.0,35.0
250,701,1.0,43.0
251,250,1.0,38.0
252,1710,1.0,60.0
273,4028,1.0,97.0
281,4403,1.0,97.0
298,2084,1.0,368.0
346,2668,1.0,110.0
350,3265,1.0,126.0
358,2611,1.0,67.0
361,2562,1.0,117.0
362,361,1.0,8.0
362,1988,1.0,32.0
362,4377,1.0,85.0
405,34,2.0,8.0
409,4423,1.0,10.0
527,2681,1.0,191.0
528,527,1.0,14.0
532,3783,1.0,255.0
533,532,1.0,20.0
534,166,1.0,99.0
545,2429,1.0,91.0
567,2996,1.0,45.0
576,4287,1.0,63.0
584,1605,1.0,90.0
587,2461,1.0,6.0
591,875,1.0,27.0
652,206,1.0,25.0
660,1804,1.0,64.0
670,2996,1.0,111.0
690,1734,1.0,35.0
692,250,1.0,28.0
696,1341,1.0,31.0
699,4251,1.0,24.0
700,701,1.0,7.0
701,346,1.0,49.0
701,706,1.0,35.0
704,2333,1.0,160.0
706,229,1.0,247.0
714,4174,1.0,187.0
748,1710,1.0,105.0
769,2091,1.0,36.0
769,3151,1.0,54.0
802,3312,1.0,104.0
820,2363,1.0,390.0
869,216,1.0,61.0
875,2998,1.0,80.0
881,362,1.0,91.0
881,3670,1.0,63.0
897,1035,2.0,51.0
938,1215,1.0,73.0
995,2781,1.0,64.0
1035,2461,1.0,113.0
1035,2566,1.0,35.0
1088,3543,1.0,185.0
1125,591,1.0,115.0
1134,2787,1.0,6.0
1160,3265,1.0,126.0
1161,1160,1.0,24.0
1161,2668,1.0,172.0
1167,3992,1.0,76.0
1212,2790,1.0,83.0
1215,690,1.0,237.0
1286,696,1.0,78.0
1286,704,1.0,49.0
1286,1810,1.0,102.0
1325,2725,1.0,114.0
1341,225,1.0,49.0
1341,251,1.0,14.0
1341,252,1.0,38.0
1341,3614,1.0,115.0
1344,1466,1.0,166.0
1354,533,1.0,15.0
1378,358,1.0,145.0
1394,362,1.0,13.0
1407,2008,1.0,32.0
1414,4004,1.0,32.0
1466,1915,1.0,87.0
1485,567,1.0,127.0
1517,3158,1.0,33.0
1531,1354,1.0,88.0
1531,4403,1.0,176.0
1542,3707,1.0,15.0
1584,4287,1.0,43.0
1592,4509,1.0,265.0
1605,3787,1.0,199.0
