from,to,flow,cost
7,1605,1.0,171.0
34,405,1.0,12.0
34,2083,1.0,33.0
34,3795,1.0,2.0
34,4375,1.0,18.0
37,3265,1.0,136.0
41,3783,1.0,23.0
71,273,1.0,162.0
71,3088,1.0,85.0
108,1318,1.0,22.0
166,298,1.0,79.0
166,4415,1.0,77.0
179,2837,1.0,34.0
179,3543,1.0,145.0
179,3883,1.0,214.0
180,179,1.0,7.0
206,2815,1.0,60.0
216,690,3.0,13.0
216,1734,1.0,49.0
225,692,1.0,31.0
229,3360,1.0,69.0
248,329,1.0,86.0
250,699,1.0,28.0
250,700,1.0,35.0
250,701,1.0,43.0
250,1901,1.0,59.0
250,2668,1.0,163.0
251,250,1.0,38.0
252,1376,1.0,43.0
273,179,1.0,170.0
281,282,1.0,7.0
281,4403,1.0,97.0
282,1136,1.0,134.0
282,2681,1.0,94.0
298,2084,1.0,368.0
329,1881,2.0,16.0
346,2668,1.0,110.0
350,346,1.0,29.0
350,3265,1.0,126.0
353,714,1.0,30.0
353,2781,1.0,114.0
358,353,2.0,35.0
358,2611,1.0,67.0
361,881,2.0,66.0
361,1988,1.0,24.0
361,2562,1.0,117.0
362,358,2.0,30.0
362,361,4.0,8.0
362,1035,1.0,110.0
362,2565,1.0,107.0
362,4377,1.0,85.0
405,34,3.0,8.0
409,4423,1.0,10.0
499,3209,1.0,36.0
527,2681,1.0,191.0
528,527,1.0,14.0
529,2787,1.0,147.0
532,2164,1.0,214.0
533,528,1.0,83.0
533,660,1.0,122.0
533,3691,1.0,125.0
533,4431,1.0,75.0
534,166,1.0,99.0
538,1517,1.0,123.0
538,2232,1.0,89.0
545,3360,1.0,118.0
567,2996,1.0,45.0
574,1888,1.0,167.0
576,4287,1.0,63.0
584,2459,1.0,22.0
587,2461,2.0,6.0
591,3129,1.0,63.0
602,2646,1.0,74.0
652,574,1.0,64.0
660,1354,2.0,65.0
670,1888,1.0,45.0
690,692,3.0,22.0
690,1734,1.0,35.0
692,250,3.0,28.0
692,696,1.0,35.0
696,1341,2.0,31.0
699,4251,1.0,24.0
700,1710,1.0,24.0
701,1286,1.0,42.0
704,2333,1.0,160.0
706,2668,1.0,84.0
714,362,1.0,106.0
748,1710,1.0,105.0
769,2091,1.0,36.0
769,3151,1.0,54.0
791,3074,1.0,58.0
802,1792,1.0,23.0
802,3312,1.0,104.0
820,2167,1.0,39.0
869,216,1.0,61.0
875,538,1.0,151.0
881,362,1.0,91.0
881,3670,1.0,63.0
897,282,1.0,81.0
897,3931,1.0,65.0
938,1215,1.0,73.0
956,1888,1.0,53.0
995,2554,1.0,56.0
995,2664,2.0,36.0
995,2781,1.0,64.0
995,3531,2.0,62.0
1035,2461,1.0,113.0
1088,71,1.0,25.0
1125,591,1.0,115.0
1134,2583,1.0,96.0
1136,166,1.0,48.0
1160,3265,1.0,126.0
1161,1160,1.0,24.0
1161,2668,1.0,172.0
1167,71,1.0,265.0
1212,1617,1.0,81.0
1215,690,1.0,237.0
1215,2790,1.0,17.0
1278,1282,1.0,29.0
1282,2586,1.0,14.0
1286,696,1.0,78.0
1286,704,1.0,49.0
1286,1810,1.0,102.0
1318,108,1.0,22.0
1325,2725,1.0,114.0
1341,225,1.0,49.0
1341,229,1.0,162.0
1341,251,1.0,14.0
1341,252,1.0,38.0
1341,1161,1.0,113.0
1341,3614,1.0,115.0
1341,4457,1.0,106.0
1344,1466,1.0,166.0
1354,533,3.0,15.0
1376,2351,1.0,486.0
1378,358,1.0,145.0
1394,362,3.0,13.0
1407,2008,1.0,32.0
1414,4004,1.0,32.0
1466,3129,1.0,115.0
1485,3024,1.0,153.0
1517,3158,1.0,33.0
1531,1354,1.0,88.0
1531,4403,1.0,176.0
1542,3707,1.0,15.0
1545,1542,1.0,54.0
1584,4287,1.0,43.0
1592,4509,1.0,265.0
1605,3787,1.0,199.0
1617,1881,1.0,98.0
1645,2225,1.0,71.0
1683,3793,1.0,43.0
1710,1809,1.0,86.0
1710,4251,3.0,7.0
1711,1710,2.0,49.0
1716,1711,1.0,53.0
1730,4006,1.0,506.0
1734,576,1.0,34.0
1734,869,1.0,55.0
1734,2087,1.0,219.0
1734,4240,1.0,154.0
1750,1888,1.0,105.0
1763,820,1.0,38.0
1792,2154,1.0,56.0
1795,4467,1.0,104.0
1804,587,1.0,108.0
1809,248,1.0,34.0
1810,250,1.0,31.0
1815,3736,1.0,20.0
1822,660,1.0,126.0
1837,2162,1.0,29.0
1842,2054,1.0,94.0
1842,2460,1.0,171.0
1843,2251,2.0,28.0
1881,216,3.0,47.0
1882,538,1.0,82.0
1888,875,1.0,69.0
1888,956,1.0,54.0
1888,1592,1.0,67.0
1888,1915,1.0,90.0
1895,1683,1.0,235.0
1896,2787,1.0,149.0
1901,1341,5.0,6.0
1915,1734,1.0,180.0
1968,4028,1.0,30.0
1974,1983,1.0,150.0
1983,350,1.0,48.0
1983,706,1.0,79.0
1988,1394,1.0,69.0
2008,1167,1.0,187.0
2011,2781,1.0,70.0
2035,1215,1.0,73.0
2054,4123,1.0,43.0
2083,1394,1.0,31.0
2084,3249,1.0,52.0
2087,2429,1.0,120.0
2087,4401,1.0,121.0
2087,4466,1.0,53.0
2091,769,1.0,45.0
2091,3260,1.0,27.0
2154,802,1.0,32.0
2162,2616,1.0,152.0
2164,2165,1.0,36.0
2164,3804,1.0,37.0
2165,2167,1.0,14.0
2165,3783,1.0,22.0
2167,2168,1.0,14.0
2167,3774,1.0,62.0
2168,1325,1.0,144.0
2225,791,1.0,117.0
2232,3093,1.0,85.0
2251,2476,1.0,85.0
2251,2834,1.0,77.0
2261,1837,1.0,307.0
2263,2261,1.0,28.0
2274,532,1.0,36.0
2274,2164,1.0,251.0
2333,350,1.0,96.0
2333,1161,1.0,71.0
2334,2333,1.0,24.0
2351,3271,1.0,113.0
2363,2588,1.0,111.0
2368,206,1.0,163.0
2428,1882,1.0,69.0
2429,4251,1.0,176.0
2431,3265,1.0,167.0
2441,3097,1.0,68.0
2443,2441,1.0,21.0
2459,533,1.0,178.0
2459,2686,1.0,118.0
2460,587,1.0,21.0
2461,1531,2.0,48.0
2461,1896,1.0,81.0
2466,1134,1.0,27.0
2466,1278,1.0,95.0
2466,2982,1.0,253.0
2473,2474,1.0,14.0
2474,2476,1.0,25.0
2476,1212,1.0,211.0
2476,2477,1.0,14.0
2477,3185,1.0,129.0
2477,4174,1.0,47.0
2546,4507,1.0,53.0
2554,2962,1.0,21.0
2561,2937,1.0,36.0
2562,2565,1.0,36.0
2565,1983,1.0,117.0
2565,2263,1.0,176.0
2566,362,1.0,116.0
2583,3724,1.0,71.0
2586,2587,1.0,8.0
2587,2588,1.0,22.0
2587,3665,1.0,20.0
2588,602,1.0,175.0
2588,1815,1.0,110.0
2588,1968,1.0,320.0
2588,2363,1.0,96.0
2588,3591,1.0,156.0
2588,4076,1.0,153.0
2611,2443,1.0,145.0
2616,3703,1.0,94.0
2629,4287,1.0,188.0
2646,1414,1.0,187.0
2646,2588,1.0,118.0
2664,2473,1.0,14.0
2664,2668,1.0,70.0
2668,995,6.0,8.0
2668,3052,1.0,49.0
2681,3099,1.0,24.0
2681,4370,1.0,30.0
2683,1804,1.0,63.0
2686,1895,1.0,7.0
2698,2683,1.0,259.0
2725,2646,1.0,70.0
2780,362,1.0,162.0
2780,897,1.0,130.0
2781,1842,2.0,7.0
2781,3668,3.0,36.0
2787,2274,2.0,64.0
2787,2466,3.0,14.0
2790,652,1.0,182.0
2815,3950,1.0,45.0
2834,2781,1.0,78.0
2836,180,1.0,30.0
2837,2836,1.0,14.0
2908,1974,1.0,108.0
2922,2923,1.0,21.0
2923,3818,1.0,107.0
2937,362,1.0,141.0
2946,2087,2.0,15.0
2953,4451,1.0,17.0
2962,1286,2.0,7.0
2982,2588,1.0,117.0
2996,670,1.0,108.0
2996,4201,1.0,64.0
2996,4226,1.0,44.0
2998,2946,2.0,5.0
3024,2996,1.0,78.0
3052,2668,1.0,49.0
3074,2629,1.0,34.0
3081,2035,1.0,76.0
3088,499,1.0,79.0
3093,4287,1.0,102.0
3097,769,1.0,24.0
3099,2459,1.0,43.0
3118,281,2.0,19.0
3129,1125,1.0,20.0
3129,2428,1.0,189.0
3151,37,1.0,24.0
3158,2998,1.0,96.0
