passenger,line,mod_cost
395,775,0.0
396,200,44.0
397,471,49.0
398,787,0.0
399,407,35.0
400,119,55.0
401,862,82.0
402,629,60.0
403,583,49.0
404,214,72.0
405,565,24.0
406,118,29.0
407,951,46.0
408,958,58.0
409,103,61.0
410,415,85.0
411,603,66.0
412,577,80.0
413,222,80.0
414,424,65.0
415,711,62.0
416,97,61.0
417,268,48.0
418,41,72.0
419,254,53.0
420,76,108.0
421,749,36.0
422,720,35.0
423,841,74.0
424,8,79.0
425,276,67.0
426,751,73.0
427,402,43.0
428,961,45.0
429,662,48.0
430,643,138.0
431,98,38.0
432,796,96.0
433,306,27.0
434,62,75.0
435,704,15.0
436,451,39.0
437,626,25.0
438,943,97.0
439,745,39.0
440,706,46.0
441,753,55.0
442,613,68.0
443,598,34.0
444,324,26.0
445,943,66.0
446,987,41.0
447,903,37.0
448,684,118.0
449,587,71.0
450,680,46.0
451,419,49.0
452,967,62.0
453,62,97.0
454,509,41.0
455,431,118.0
456,508,73.0
457,479,58.0
458,211,146.0
459,128,70.0
460,233,75.0
461,408,101.0
462,316,55.0
463,700,46.0
464,212,42.0
465,723,45.0
466,885,83.0
467,699,37.0
468,582,105.0
469,582,91.0
470,123,21.0
471,495,43.0
472,589,38.0
473,306,55.0
474,13,105.0
475,791,50.0
476,982,23.0
477,492,43.0
478,78,63.0
479,887,50.0
480,406,55.0
481,869,69.0
482,735,101.0
483,319,60.0
484,150,55.0
485,355,146.0
486,824,87.0
487,107,79.0
488,497,22.0
489,507,13.0
490,824,41.0
491,89,35.0
492,845,121.0
493,107,75.0
494,260,51.0
495,499,26.0
496,316,57.0
497,709,42.0
498,434,37.0
499,494,28.0
500,936,57.0
501,316,22.0
502,854,30.0
503,808,43.0
504,no_MT,22.0
505,541,48.0
506,994,46.0
507,606,56.0
508,836,69.0
509,501,40.0
510,16,90.0
511,453,96.0
512,69,73.0
513,979,35.0
514,119,80.0
515,503,15.0
516,614,28.0
517,524,75.0
518,840,83.0
519,no_MT,91.0
520,603,51.0
521,656,53.0
522,539,58.0
523,497,15.0
524,316,79.0
525,990,82.0
526,10,62.0
527,548,92.0
528,188,76.0
529,903,60.0
530,248,54.0
531,899,0.0
532,no_MT,31.0
533,753,49.0
534,431,87.0
535,643,60.0
536,308,68.0
537,706,54.0
538,626,7.0
539,221,1.0
540,85,56.0
541,119,86.0
542,655,68.0
543,582,30.0
544,14,44.0
545,970,60.0
546,502,60.0
547,549,25.0
548,778,46.0
549,669,57.0
550,791,96.0
551,306,62.0
552,699,42.0
553,971,73.0
554,580,64.0
555,876,42.0
556,859,43.0
557,665,52.0
558,800,69.0
559,276,74.0
560,326,43.0
561,186,92.0
562,214,72.0
563,888,49.0
564,657,16.0
565,50,37.0
566,716,106.0
567,979,68.0
568,808,77.0
569,151,37.0
570,129,36.0
571,558,65.0
572,419,84.0
573,408,41.0
574,507,0.0
575,684,113.0
576,527,71.0
577,407,65.0
578,887,50.0
579,77,59.0
580,507,0.0
581,214,79.0
582,267,47.0
583,986,19.0
584,312,63.0
585,796,34.0
586,no_MT,71.0
587,192,22.0
588,561,86.0
589,636,74.0
590,673,90.0
591,758,65.0
592,306,28.0
593,300,69.0
594,216,66.0
595,62,83.0
596,no_MT,94.0
597,499,91.0
598,812,38.0
599,508,110.0
600,248,128.0
601,846,89.0
602,75,159.0
603,494,55.0
604,269,41.0
605,892,88.0
606,903,97.0
607,164,21.0
608,664,42.0
609,415,41.0
610,498,42.0
611,847,52.0
612,514,29.0
613,963,28.0
614,131,65.0
615,9,60.0
616,260,59.0
617,230,26.0
618,no_MT,33.0
619,no_MT,84.0
620,no_MT,81.0
621,no_MT,31.0
622,183,55.0
623,790,91.0
624,312,21.0
625,no_MT,82.0
626,852,22.0
627,568,110.0
628,906,85.0
629,106,49.0
630,89,41.0
631,497,21.0
632,679,82.0
633,182,55.0
634,123,56.0
635,33,110.0
636,746,90.0
637,498,29.0
638,934,50.0
639,488,25.0
640,216,94.0
641,185,68.0
642,299,43.0
643,384,52.0
644,773,113.0
645,186,44.0
646,299,21.0
647,424,139.0
648,223,21.0
649,85,47.0
650,907,63.0
651,508,49.0
652,247,100.0
653,553,67.0
654,768,93.0
655,306,78.0
656,46,28.0
657,210,65.0
658,558,57.0
659,527,84.0
660,486,84.0
661,580,160.0
662,492,71.0
663,631,27.0
664,970,57.0
665,479,54.0
666,716,96.0
667,151,58.0
668,892,122.0
669,724,62.0
670,273,76.0
671,587,25.0
672,470,35.0
673,331,88.0
674,36,53.0
675,857,90.0
676,673,71.0
677,260,103.0
678,851,47.0
679,209,79.0
680,696,18.0
681,306,67.0
682,898,79.0
683,704,13.0
684,684,35.0
685,239,37.0
686,64,63.0
687,442,29.0
688,502,42.0
689,29,49.0
690,75,40.0
691,883,35.0
692,967,37.0
693,217,197.0
694,273,46.0
695,114,48.0
696,no_MT,60.0
697,308,68.0
698,13,93.0
699,914,32.0
700,946,36.0
701,474,67.0
702,435,50.0
703,232,77.0
704,183,74.0
705,787,84.0
706,87,50.0
707,602,31.0
708,521,45.0
709,858,28.0
710,189,54.0
711,128,108.0
712,851,41.0
713,969,27.0
714,823,26.0
715,956,43.0
716,935,72.0
717,233,56.0
718,842,65.0
719,834,89.0
720,649,44.0
721,483,47.0
722,867,61.0
723,812,87.0
724,432,0.0
725,175,78.0
726,839,82.0
727,524,22.0
728,435,43.0
729,521,68.0
730,223,56.0
731,783,34.0
732,841,72.0
733,679,53.0
734,786,105.0
735,500,55.0
736,316,38.0
737,773,129.0
738,665,35.0
739,558,51.0
740,509,84.0
741,28,46.0
742,768,74.0
743,994,77.0
744,138,8.0
745,507,62.0
746,929,52.0
747,786,43.0
748,216,62.0
749,850,44.0
750,87,36.0
751,187,59.0
752,924,26.0
753,678,55.0
754,899,38.0
755,958,46.0
756,473,37.0
757,239,87.0
758,649,34.0
759,935,49.0
760,719,115.0
761,582,76.0
762,236,56.0
763,386,34.0
764,510,91.0
765,626,49.0
766,440,219.0
767,644,53.0
768,753,19.0
769,977,73.0
770,306,29.0
771,830,25.0
772,699,55.0
773,732,49.0
774,696,112.0
775,927,99.0
776,656,78.0
777,415,50.0
778,753,27.0
779,204,57.0
780,136,30.0
781,775,24.0
782,131,97.0
783,406,50.0
784,187,84.0
785,847,32.0
786,304,59.0
787,700,68.0
788,341,86.0
789,823,49.0
790,853,70.0
791,726,89.0
792,145,33.0
793,698,28.0
794,644,73.0
795,64,57.0
796,454,50.0
797,549,111.0
798,969,21.0
799,202,66.0
800,96,107.0
801,461,74.0
802,803,28.0
803,354,67.0
804,no_MT,55.0
805,549,80.0
806,492,32.0
807,900,59.0
808,839,47.0
809,62,93.0
810,312,53.0
811,858,46.0
812,768,60.0
813,135,63.0
814,498,75.0
815,315,75.0
816,498,46.0
817,115,116.0
818,994,42.0
819,728,77.0
820,306,54.0
821,434,77.0
822,6,43.0
823,802,58.0
824,152,49.0
825,424,92.0
826,232,80.0
827,291,40.0
828,817,74.0
829,53,58.0
830,854,35.0
