line,frequency,line_cost
0,0,1296.0
2,0,580.0
5,0,644.0
6,0,956.0
8,0,1076.0
9,0,1817.0
10,0,479.0
12,0,314.0
13,0,1092.0
14,0,1621.0
16,0,1269.0
17,0,682.0
18,0,1044.0
19,0,942.0
21,0,912.0
22,0,838.0
23,0,406.0
24,0,728.0
25,0,490.0
26,0,1093.0
27,0,446.0
28,0,787.0
29,0,558.0
30,0,1195.0
32,0,900.0
33,0,782.0
35,0,1298.0
36,0,1104.0
37,0,521.0
40,0,1135.0
41,0,913.0
42,0,518.0
43,0,767.0
46,0,629.0
50,0,802.0
51,0,528.0
53,0,944.0
54,0,409.0
62,0,510.0
64,0,706.0
68,0,366.0
69,0,953.0
75,0,943.0
76,0,350.0
77,0,798.0
78,0,908.0
79,0,618.0
80,0,979.0
81,0,900.0
82,0,884.0
85,0,515.0
87,0,1033.0
89,0,708.0
91,0,395.0
94,0,940.0
95,0,1304.0
96,0,938.0
97,0,1149.0
98,0,1081.0
99,0,527.0
100,0,615.0
101,0,879.0
103,0,728.0
104,0,766.0
106,0,1014.0
107,0,713.0
108,0,705.0
109,0,896.0
110,0,373.0
111,0,1298.0
113,0,521.0
114,0,506.0
115,0,1069.0
118,0,1037.0
119,0,869.0
120,0,1210.0
121,0,801.0
122,0,1157.0
123,0,1021.0
126,0,1066.0
128,0,531.0
129,0,1315.0
130,0,829.0
131,0,841.0
133,0,965.0
135,0,686.0
136,0,1171.0
138,0,1463.0
140,0,1053.0
141,0,880.0
142,0,567.0
144,0,863.0
145,0,591.0
146,0,881.0
150,0,1743.0
151,0,602.0
152,0,584.0
154,0,822.0
160,0,880.0
161,0,837.0
162,0,590.0
164,0,870.0
166,0,518.0
170,0,991.0
171,0,793.0
172,0,699.0
175,0,545.0
178,0,956.0
180,0,812.0
182,0,1481.0
183,0,1032.0
185,0,1762.0
186,0,1437.0
187,0,933.0
188,0,727.0
189,0,1042.0
192,0,375.0
193,0,467.0
194,0,399.0
200,0,509.0
202,0,1220.0
203,0,579.0
204,0,873.0
206,0,620.0
209,0,1247.0
210,0,1096.0
211,0,906.0
212,0,563.0
213,0,807.0
214,0,465.0
216,0,1207.0
217,0,1067.0
220,0,371.0
221,0,526.0
222,0,1515.0
223,0,567.0
227,0,615.0
228,0,1269.0
230,0,931.0
232,0,805.0
233,0,1129.0
234,0,824.0
236,0,1079.0
238,0,1233.0
239,0,1515.0
241,0,570.0
243,0,1019.0
244,0,1229.0
247,0,468.0
248,0,317.0
250,0,433.0
251,0,1237.0
252,0,1382.0
253,0,1298.0
254,0,467.0
258,0,1190.0
260,0,774.0
261,0,794.0
264,0,1152.0
266,0,587.0
267,0,1072.0
268,0,1029.0
269,0,836.0
271,0,775.0
273,0,1485.0
275,0,1039.0
276,0,1191.0
277,0,690.0
279,0,823.0
284,0,1166.0
285,0,1074.0
286,0,468.0
289,0,485.0
291,0,1151.0
293,0,296.0
294,0,1310.0
299,0,1331.0
300,0,432.0
301,0,544.0
304,0,1547.0
306,0,1341.0
308,0,1497.0
310,0,1255.0
311,0,895.0
312,0,623.0
313,0,885.0
315,0,1204.0
316,0,597.0
317,0,1294.0
319,0,1457.0
320,0,829.0
321,0,1222.0
324,0,1321.0
326,0,1329.0
327,0,817.0
330,0,1039.0
331,0,966.0
335,0,1006.0
337,0,306.0
341,0,1166.0
347,0,1135.0
352,0,1122.0
354,0,1282.0
355,0,884.0
356,0,890.0
361,0,765.0
366,0,899.0
368,0,679.0
369,0,944.0
373,0,917.0
374,0,585.0
377,0,494.0
378,0,742.0
380,0,1125.0
382,0,612.0
384,0,645.0
386,0,517.0
387,0,557.0
388,0,955.0
389,0,1040.0
394,0,1271.0
398,0,927.0
401,0,827.0
402,0,912.0
405,0,1417.0
406,0,297.0
407,0,685.0
408,0,975.0
409,0,1243.0
410,0,591.0
411,0,1392.0
412,0,795.0
413,0,429.0
415,0,1093.0
416,0,320.0
419,0,1272.0
421,0,890.0
422,0,1403.0
423,0,761.0
424,0,1091.0
425,0,802.0
426,0,1522.0
429,0,1175.0
430,0,680.0
431,0,517.0
432,0,750.0
434,0,599.0
435,0,582.0
438,0,1067.0
440,0,1563.0
442,0,440.0
445,0,1035.0
447,0,568.0
450,0,1155.0
451,0,1525.0
453,0,670.0
454,0,1186.0
459,0,786.0
461,0,1578.0
463,0,572.0
468,0,688.0
470,0,643.0
471,0,589.0
473,0,590.0
474,0,264.0
479,0,531.0
483,0,805.0
484,0,1270.0
486,0,703.0
487,0,957.0
488,0,503.0
489,0,1783.0
490,0,818.0
491,0,873.0
492,0,1140.0
493,0,1309.0
494,0,982.0
495,0,757.0
497,0,1058.0
498,0,1028.0
499,0,927.0
500,0,955.0
501,0,883.0
502,0,948.0
503,0,1434.0
504,0,785.0
505,0,496.0
506,0,713.0
507,0,865.0
508,0,1101.0
509,0,1013.0
510,0,1234.0
514,0,1327.0
519,0,530.0
521,0,640.0
524,0,791.0
525,0,1029.0
527,0,931.0
529,0,435.0
530,0,1035.0
531,0,401.0
532,0,423.0
535,0,592.0
539,0,1186.0
541,0,1858.0
542,0,1414.0
544,0,1027.0
546,0,780.0
548,0,558.0
549,0,901.0
551,0,1371.0
553,0,761.0
555,0,1248.0
558,0,870.0
559,0,910.0
561,0,550.0
562,0,292.0
565,0,1406.0
568,0,1084.0
570,0,1010.0
571,0,929.0
573,0,307.0
577,0,1193.0
580,0,367.0
581,0,723.0
582,0,983.0
583,0,1151.0
585,0,800.0
586,0,1027.0
587,0,1278.0
589,0,1262.0
591,0,669.0
593,0,431.0
595,0,1493.0
596,0,1043.0
597,0,1310.0
598,0,1518.0
602,0,1403.0
603,0,1732.0
606,0,753.0
608,0,662.0
610,0,769.0
612,0,351.0
613,0,872.0
614,0,1826.0
617,0,587.0
618,0,807.0
619,0,804.0
621,0,605.0
622,0,1084.0
624,0,829.0
626,0,650.0
627,0,619.0
629,0,1610.0
630,0,775.0
631,0,1002.0
636,0,392.0
637,0,926.0
643,0,742.0
644,0,550.0
645,0,778.0
648,0,541.0
649,0,1038.0
650,0,458.0
652,0,1166.0
655,0,961.0
656,0,890.0
657,0,852.0
660,0,497.0
662,0,1326.0
663,0,602.0
664,0,731.0
665,0,1047.0
666,0,545.0
667,0,714.0
669,0,626.0
670,0,1200.0
672,0,895.0
673,0,909.0
676,0,1265.0
678,0,630.0
679,0,893.0
680,0,871.0
681,0,1175.0
683,0,532.0
684,0,1531.0
686,0,682.0
687,0,445.0
688,0,1225.0
689,0,858.0
695,0,668.0
696,0,1052.0
698,0,905.0
699,0,865.0
700,0,1013.0
704,0,636.0
706,0,1043.0
709,0,525.0
711,0,484.0
712,0,363.0
713,0,859.0
716,0,803.0
719,0,1087.0
720,0,306.0
723,0,511.0
724,0,349.0
726,0,404.0
728,0,764.0
729,0,620.0
731,0,760.0
732,0,661.0
733,0,958.0
735,0,1204.0
740,0,421.0
741,0,620.0
742,0,952.0
743,0,879.0
745,0,522.0
746,0,592.0
747,0,1252.0
748,0,666.0
749,0,881.0
751,0,368.0
752,0,763.0
753,0,976.0
756,0,306.0
758,0,482.0
760,0,918.0
761,0,711.0
765,0,956.0
768,0,651.0
769,0,499.0
771,0,593.0
773,0,1005.0
775,0,1040.0
778,0,807.0
779,0,1011.0
782,0,811.0
783,0,1575.0
784,0,1108.0
786,0,730.0
787,0,1056.0
789,0,1363.0
790,0,689.0
791,0,691.0
792,0,584.0
793,0,347.0
796,0,682.0
798,0,631.0
799,0,1064.0
800,0,1210.0
802,0,797.0
803,0,1388.0
804,0,379.0
808,0,675.0
809,0,1217.0
810,0,442.0
811,0,1046.0
812,0,1001.0
813,0,994.0
815,0,908.0
817,0,1531.0
819,0,758.0
820,0,510.0
821,0,1266.0
822,0,443.0
823,0,1560.0
824,0,965.0
825,0,881.0
826,0,1131.0
830,0,824.0
833,0,763.0
834,0,1205.0
836,0,529.0
837,0,658.0
838,0,828.0
839,0,1062.0
840,0,506.0
841,0,403.0
842,0,820.0
845,0,1019.0
846,0,1109.0
847,0,364.0
848,0,1008.0
850,0,369.0
851,0,540.0
852,0,557.0
853,0,510.0
854,0,620.0
855,0,283.0
856,0,1055.0
857,0,903.0
858,0,782.0
859,0,833.0
862,0,858.0
866,0,1006.0
867,0,1354.0
868,0,839.0
869,0,823.0
870,0,1361.0
871,0,812.0
872,0,720.0
873,0,924.0
875,0,571.0
876,0,769.0
880,0,438.0
881,0,342.0
882,0,270.0
883,0,663.0
885,0,571.0
886,0,980.0
887,0,718.0
888,0,860.0
892,0,956.0
895,0,332.0
896,0,1005.0
898,0,1241.0
899,0,334.0
900,0,862.0
903,0,1128.0
905,0,1013.0
906,0,586.0
907,0,526.0
908,0,604.0
909,0,592.0
910,0,779.0
914,0,640.0
917,0,1001.0
919,0,987.0
920,0,963.0
923,0,476.0
924,0,1198.0
925,0,749.0
927,0,1131.0
929,0,575.0
934,0,505.0
935,0,523.0
936,0,702.0
940,0,725.0
941,0,533.0
943,0,780.0
945,0,1398.0
946,0,1221.0
949,0,957.0
951,0,1137.0
952,0,995.0
955,0,1314.0
956,0,755.0
958,0,1373.0
960,0,1031.0
961,0,385.0
962,0,506.0
963,0,969.0
964,0,603.0
965,0,1212.0
966,0,1165.0
967,0,679.0
969,0,949.0
970,0,1083.0
971,0,776.0
972,0,625.0
973,0,459.0
975,0,857.0
976,0,650.0
977,0,1040.0
979,0,535.0
980,0,459.0
982,0,676.0
983,0,1033.0
984,0,1082.0
986,0,783.0
987,0,1422.0
989,0,581.0
990,0,894.0
991,0,483.0
994,0,1072.0
996,0,702.0
