from,to,flow,cost
0,1,1.0,12.0
0,2,1.0,25.0
0,1021,1.0,7.0
1,2,4.0,12.0
1,1022,5.0,7.0
1,1738,1.0,7.0
1,2322,1.0,27.0
1,2714,1.0,44.0
1,2717,2.0,22.0
1,2718,3.0,14.0
1,4399,2.0,28.0
2,0,1.0,25.0
2,1,2.0,12.0
2,3,1.0,24.0
2,1324,1.0,32.0
2,1738,1.0,20.0
2,1739,2.0,7.0
2,2716,1.0,41.0
3,1024,9.0,7.0
3,1739,1.0,32.0
4,442,1.0,15.0
4,3782,15.0,1.0
5,4,2.0,5.0
5,3782,1.0,7.0
6,3,1.0,38.0
6,1025,4.0,7.0
6,3782,1.0,19.0
7,132,1.0,85.0
7,312,2.0,15.0
7,2161,1.0,32.0
7,2162,1.0,47.0
7,2313,6.0,7.0
8,7,1.0,24.0
8,2162,3.0,7.0
8,3803,1.0,27.0
8,4481,11.0,3.0
9,420,4.0,7.0
9,3768,4.0,1.0
10,9,4.0,9.0
10,420,2.0,17.0
11,420,1.0,28.0
11,2110,2.0,7.0
11,3803,1.0,36.0
14,2330,1.0,29.0
14,3893,1.0,32.0
16,17,1.0,39.0
16,126,1.0,7.0
16,274,1.0,22.0
16,1148,4.0,14.0
16,4490,1.0,15.0
17,7,1.0,28.0
17,16,2.0,24.0
17,1665,6.0,7.0
18,17,1.0,24.0
18,2163,1.0,7.0
19,8,1.0,44.0
19,18,2.0,14.0
19,21,1.0,41.0
19,424,2.0,10.0
19,812,1.0,31.0
19,816,1.0,27.0
19,1150,1.0,29.0
19,1667,1.0,33.0
19,2163,1.0,22.0
19,2315,1.0,54.0
19,3246,1.0,97.0
19,3784,4.0,1.0
19,3804,2.0,8.0
19,4499,2.0,24.0
20,19,3.0,9.0
21,19,3.0,29.0
21,59,1.0,48.0
22,794,1.0,11.0
22,3074,2.0,22.0
23,24,3.0,25.0
23,2184,5.0,8.0
24,25,2.0,7.0
24,2184,1.0,34.0
24,3486,2.0,2.0
24,3833,12.0,22.0
24,4474,1.0,53.0
25,24,2.0,7.0
25,2298,2.0,15.0
26,538,1.0,71.0
26,682,3.0,35.0
26,1750,2.0,6.0
26,2973,1.0,70.0
26,3131,1.0,26.0
26,4397,1.0,66.0
27,680,1.0,43.0
27,682,3.0,7.0
28,31,30.0,1.0
28,3027,1.0,14.0
28,3069,2.0,28.0
29,31,1.0,7.0
29,3027,2.0,19.0
30,3027,1.0,26.0
30,3069,1.0,40.0
31,28,2.0,1.0
31,29,1.0,35.0
31,32,26.0,11.0
31,57,1.0,77.0
31,152,2.0,34.0
31,279,5.0,5.0
31,366,1.0,64.0
31,403,2.0,53.0
31,553,2.0,22.0
31,554,1.0,103.0
31,624,1.0,29.0
31,923,1.0,32.0
31,924,2.0,30.0
31,926,1.0,22.0
31,1014,1.0,19.0
31,1252,1.0,49.0
31,1699,3.0,13.0
31,2018,1.0,72.0
31,2025,1.0,54.0
31,2394,1.0,33.0
31,2764,1.0,45.0
31,2948,1.0,28.0
31,3027,1.0,15.0
31,3069,1.0,30.0
31,3301,1.0,87.0
31,3355,1.0,41.0
31,4065,1.0,27.0
31,4448,1.0,50.0
31,4542,1.0,92.0
31,4578,1.0,34.0
32,3027,1.0,78.0
32,3069,2.0,92.0
32,3814,23.0,11.0
33,34,3.0,30.0
33,3767,2.0,20.0
34,33,3.0,10.0
34,35,2.0,29.0
34,404,2.0,8.0
34,1308,3.0,25.0
34,1991,1.0,48.0
34,3759,1.0,39.0
34,3760,1.0,18.0
34,3785,2.0,27.0
34,3795,21.0,2.0
34,3812,1.0,26.0
34,3941,5.0,14.0
34,4375,2.0,18.0
34,4568,1.0,47.0
35,34,3.0,14.0
35,3812,4.0,7.0
36,408,2.0,50.0
36,2154,2.0,28.0
36,3795,1.0,54.0
36,3812,1.0,45.0
37,769,1.0,29.0
37,799,1.0,14.0
37,801,2.0,29.0
37,3787,1.0,86.0
37,3812,1.0,70.0
38,39,3.0,24.0
38,4490,1.0,22.0
39,40,7.0,24.0
39,819,1.0,56.0
39,860,1.0,46.0
39,1201,6.0,14.0
